"aber","but","但是"
"der Abschnitt, -e","chapter","章，篇"
"die Antwort, -en","answer","回答"
"antworten","to answer","回答"
"arbeiten","to work","工作"
"aus","from","從，自，由"
"der Bleistift, -e","pencil","鉛筆"
"das Buch, ""-er","book","書"
"danke!","thank you","謝謝！"
"deutsch","German","德國的，德文的"
"eins","one","一，一個"
"falsch","wrong","錯誤"
"fauL","lazy","懶惰的"
"fleißig","industrious, hard-working","勤奮的"
"die Frage, -n","question","問題"
"Frau ...","Mrs. ...","...夫人，...女士"
"der Freund, -e","friend","朋友"
"die Freundin, -nen","girl-friend","女朋友"
"der Füller, -","pen","鋼筆"
"gehen*","to go","走，去"
"die Grammatik","grammar","文法"
"guten Tag!","how do you do","日安！您好！"
"das Heft, -e","copybook, exercise-book","簿子，本子"
"Herr ...","Mr. ...","...先生"
"immer","always","一向，總是"
"kommen*","to come","來"
"langsam","slow,slowly","慢，緩"
"der Lehrer, -","teacher","老師"
"die Lehrerin, -nen","teacher (female)","女老師"
"lernen","to learn","學習"
"mein","my","我的"
"der Name, -n","name","名字"
"oft","often","時常"
"die Regel, -n","rule","規則"
"richtig","right","對的，正確的"
"sagen","to say","說，講"
"schnell","fast","快速"
"die Schule, -n","school","學校"
"der Schüler, -","student","學生"
"die Schülerin, -nen","student (female)","女學生"
"sein","to be","是，在"
"die Sprache, -n","language","語言"
"üben","to practise","練習"
"viel","much, alot","多"
"wenig","a little","少"
"zusammen","together","一同，一共"
"das Adjektiv, -e","adjective","形容詞"
"der Artikel, -","article","冠詞"
"bestimmt","definite","肯定的"
"die Frau, -en","woman","陰性的"
"das Kind, -er","child","孩子，小孩"
"maskulin","masculine","陽性的"
"negativ","negative","否定的"
"neutral","neutral","中性的"
"das Personalpronomen, -","personal pronoun","人稱代名詞"
"der Plural","plural","複數"
"das Präsens","present tense","現在式"
"der Singular","singular","單數"
"die Übung, -en","exercise","練習"
"unbestimmt","indefinite","不肯定的"
"unregelmäßig","irregular","不規則的"
"das Verb, -en","verb","動詞"
